case_name,0,1,2,Percentage
dyad_10_1d_DG_P2,14750,4843.0,,0.24718011534731793
dyad_11_DG_P1_target,42610,,663.0,0.0
dyad_11_DG_P2_target,43013,260.0,,0.0
dyad_11_MG_P1P2,43251,22.0,,0.0005084001571418668
dyad_11_0_D1,901,42372.0,,0.9791787026552353
dyad_11_1d_DG_P1,42632,641.0,,0.014812931851269844
dyad_11_1d_DG_P2,43035,238.0,,0.005499965336352922
triad_01_DG_P1_target,43907,,4934.0,
triad_01_DG_P2_target,38594,10201.0,,
triad_01_DG_P3_target,33765,15170.0,11212.0,
triad_01_MG_P1P2,59234,913.0,,0.015179476948143715
triad_01_MG_P1P3,56647,3500.0,,0.058190765956739325
triad_01_MG_P2P3,56124,4023.0,,0.06688612898398923
triad_01_1d_DG_P1,48320,11827.0,,0.1966349111343874
triad_01_1d_DG_P2,43530,16617.0,,0.2762731308294678
triad_01_1d_DG_P3,41288,18859.0,,0.31354847290804194
triad_01_0_D1,43271,16876.0,,0.2805792475102665
triad_01_1_D1,35228,24919.0,,0.4143016276788535
triad_01_2_D1_same,55357,4790.0,,0.07963821969508039
triad_01_2_D1_different,55288,4859.0,,0.08078540908108467
triad_01_3_D1,59880,267.0,,0.004439124145842685
triad_01_MG_D1,57862,2285.0,,0.03799025720318553
triad_01_MG_D0,53996,6151.0,,0.10226611468568673
triad_03_DG_P1_target,37816,,2945.0,
triad_03_DG_P2_target,41387,749.0,,
triad_03_DG_P3_target,41659,21.0,461.0,
triad_03_MG_P1P2,42017,124.0,,0.002942502550959873
triad_03_MG_P1P3,42141,,,
triad_03_MG_P2P3,42141,,,
triad_03_1d_DG_P1,37940,4201.0,,0.09968913884340666
triad_03_1d_DG_P2,41511,630.0,,0.014949811347618708
triad_03_1d_DG_P3,41659,482.0,,0.01143779217389241
triad_03_0_D1,5300,36841.0,,0.8742317458057474
triad_03_1_D1,37102,5039.0,,0.11957476092166773
triad_03_2_D1_same,42125,16.0,,0.00037967774851095133
triad_03_2_D1_different,42020,121.0,,0.0028713129731140694
triad_03_3_D1,42141,,,
triad_03_MG_D1,42141,,,
triad_03_MG_D0,42017,124.0,,0.002942502550959873
triad_04_DG_P1_target,56858,,4446.0,
triad_04_DG_P2_target,60870,5306.0,,
triad_04_DG_P3_target,62125,3694.0,726.0,
triad_04_MG_P1P2,66067,478.0,,0.007183109174242993
triad_04_MG_P1P3,66179,366.0,,0.005500037568562627
triad_04_MG_P2P3,66545,,,
triad_04_1d_DG_P1,57702,8843.0,,0.13288751972349538
triad_04_1d_DG_P2,61348,5197.0,,0.07809752798857916
triad_04_1d_DG_P3,62491,4054.0,,0.06092118115560899
triad_04_0_D1,17996,48549.0,,0.7295664587872868
triad_04_1_D1,50295,16250.0,,0.24419565707416035
triad_04_2_D1_same,65896,649.0,,0.009752798857915697
triad_04_2_D1_different,66292,253.0,,0.0038019385378315427
triad_04_3_D1,66545,,,
triad_04_MG_D1,66505,40.0,,0.0006010970020287024
triad_04_MG_D0,65741,804.0,,0.012082049740776918
triad_05_DG_P1_target,22835,,4400.0,
triad_05_DG_P2_target,33514,6233.0,,
triad_05_DG_P3_target,29108,2560.0,9788.0,
triad_05_MG_P1P2,40355,1101.0,,0.02655827865688923
triad_05_MG_P1P3,40764,692.0,,0.01669239675800849
triad_05_MG_P2P3,41133,323.0,,0.00779139328444616
triad_05_1d_DG_P1,24628,16828.0,,0.40592435353145506
triad_05_1d_DG_P2,34938,6518.0,,0.1572269394056349
triad_05_1d_DG_P3,30123,11333.0,,0.2733741798533385
triad_05_0_D1,28161,13295.0,,0.3207014666152065
triad_05_1_D1,22807,18649.0,,0.44985044384407563
triad_05_2_D1_same,40016,1440.0,,0.03473562331146276
triad_05_2_D1_different,36190,5266.0,,0.12702624469316867
triad_05_3_D1,40766,690.0,,0.01664415283674257
triad_05_MG_D1,40908,548.0,,0.013218834426862216
triad_05_MG_D0,39888,1568.0,,0.037823234272481666
triad_06_DG_P1_target,22676,,4357.0,
triad_06_DG_P2_target,34244,1591.0,,
triad_06_DG_P3_target,32309,2766.0,2561.0,
triad_06_MG_P1P2,37510,126.0,,0.0033478584334148158
triad_06_MG_P1P3,36510,1126.0,,0.029918163460516525
triad_06_MG_P2P3,37486,150.0,,0.0039855457540652565
triad_06_1d_DG_P1,23928,13708.0,,0.36422574131151025
triad_06_1d_DG_P2,34520,3116.0,,0.08279307046444893
triad_06_1d_DG_P3,33585,4051.0,,0.10763630566478903
triad_06_0_D1,19678,17958.0,,0.47714953767669255
triad_06_1_D1,21664,15972.0,,0.42438091189286853
triad_06_2_D1_same,36706,930.0,,0.024710383675204593
triad_06_2_D1_different,36265,1371.0,,0.03642788819215645
triad_06_3_D1,37633,3.0,,7.971091508130513e-05
triad_06_MG_D1,37344,292.0,,0.0077585290679137
triad_06_MG_D0,36526,1110.0,,0.0294930385800829
triad_07_DG_P1_target,27835,,1964.0,
triad_07_DG_P2_target,29083,91.0,,
triad_07_DG_P3_target,28905,,1243.0,0.0
triad_07_MG_P1P2,30112,36.0,,0.0011941090619609924
triad_07_MG_P1P3,30148,,,
triad_07_MG_P2P3,30031,117.0,,0.0038808544513732252
triad_07_1d_DG_P1,27871,2277.0,,0.07552739816903277
triad_07_1d_DG_P2,29236,912.0,,0.030250762903011808
triad_07_1d_DG_P3,29022,1126.0,,0.037349077882446596
triad_07_0_D1,4411,25737.0,,0.8536884702136128
triad_07_1_D1,25947,4201.0,,0.1393458935916147
triad_07_2_D1_same,30099,49.0,,0.001625315112113573
triad_07_2_D1_different,30140,8.0,,0.00026535756932466497
triad_07_3_D1,30148,,,
triad_07_MG_D1,30148,,,
triad_07_MG_D0,29995,153.0,,0.005074963513334218
triad_08_DG_P1_target,17627,,585.0,
triad_08_DG_P2_target,18740,161.0,,
triad_08_DG_P3_target,14485,1458.0,4677.0,
triad_08_MG_P1P2,20620,,,
triad_08_MG_P1P3,20441,179.0,,0.008680892337536373
triad_08_MG_P2P3,19632,988.0,,0.04791464597478177
triad_08_1d_DG_P1,17806,2814.0,,0.1364694471387003
triad_08_1d_DG_P2,19728,892.0,,0.04325897187196896
triad_08_1d_DG_P3,15652,4968.0,,0.24093113482056255
triad_08_0_D1,8360,12260.0,,0.5945683802133851
triad_08_1_D1,14625,5995.0,,0.290737148399612
triad_08_2_D1_same,20306,314.0,,0.015227934044616876
triad_08_2_D1_different,19749,871.0,,0.04224054316197866
triad_08_3_D1,20607,13.0,,0.0006304558680892338
triad_08_MG_D1,20350,270.0,,0.013094083414161009
triad_08_MG_D0,19723,897.0,,0.04350145489815713
triad_09_DG_P1_target,18690,,196.0,
triad_09_DG_P2_target,9768,2316.0,,
triad_09_DG_P3_target,12318,623.0,9005.0,
triad_09_MG_P1P2,21919,27.0,,0.0012302925362252801
triad_09_MG_P1P3,21898,48.0,,0.002187186731067165
triad_09_MG_P2P3,17520,4426.0,,0.20167684316048481
triad_09_1d_DG_P1,18765,3181.0,,0.14494668732343025
triad_09_1d_DG_P2,14221,7725.0,,0.3520003645311218
triad_09_1d_DG_P3,16792,5154.0,,0.23484917524833682
triad_09_0_D1,17202,4744.0,,0.2161669552538048
triad_09_1_D1,11891,10055.0,,0.45817005376834047
triad_09_2_D1_same,21192,754.0,,0.034357058233846716
triad_09_2_D1_different,20076,1870.0,,0.0852091497311583
triad_09_3_D1,21924,22.0,,0.0010024605850724505
triad_09_MG_D1,21255,691.0,,0.03148637564932106
triad_09_MG_D0,18136,3810.0,,0.1736079467784562
triad_02_DG_P1_target,31403,,984.0,
triad_02_DG_P2_target,31421,4216.0,,
triad_02_DG_P3_target,32149,3241.0,259.0,
triad_02_MG_P1P2,35590,59.0,,0.0016550253864063508
triad_02_MG_P1P3,35393,256.0,,0.007181127100339421
triad_02_MG_P2P3,35649,,,
triad_02_1d_DG_P1,31718,3931.0,,0.11026957277904008
triad_02_1d_DG_P2,31480,4169.0,,0.1169457768801369
triad_02_1d_DG_P3,32405,3244.0,,0.0909983449746136
triad_02_0_D1,11056,24593.0,,0.6898650733540913
triad_02_1_D1,25461,10188.0,,0.2857864175713204
triad_02_2_D1_same,35372,277.0,,0.007770203932789138
triad_02_2_D1_different,35420,229.0,,0.0064237426014754975
triad_02_3_D1,35602,47.0,,0.0013184100535779404
triad_02_MG_D1,35646,3.0,,8.415383320710259e-05
triad_02_MG_D0,35337,312.0,,0.008751998653538668
triad_11_DG_P1_target,4559,,7124.0,
triad_11_DG_P2_target,10705,1246.0,,
triad_11_DG_P3_target,3434,21.0,8528.0,
triad_11_MG_P1P2,11527,456.0,,0.03805390970541601
triad_11_MG_P1P3,11983,,,
triad_11_MG_P2P3,11951,32.0,,0.0026704498038888427
triad_11_1d_DG_P1,5015,6968.0,,0.5814904447967955
triad_11_1d_DG_P2,11193,790.0,,0.0659267295335058
triad_11_1d_DG_P3,3466,8517.0,,0.7107569056162898
triad_11_0_D1,11116,867.0,,0.07235249937411332
triad_11_1_D1,6586,5397.0,,0.4503880497371276
triad_11_2_D1_same,7582,4401.0,,0.36727029959108737
triad_11_2_D1_different,11278,705.0,,0.058833347241926064
triad_11_3_D1,11858,125.0,,0.010431444546440792
triad_11_MG_D1,11692,291.0,,0.024284402904114162
triad_11_MG_D0,11786,197.0,,0.016439956605190688
triad_10_DG_P1_target,20399,,1771.0,
triad_10_DG_P2_target,20281,1618.0,,
triad_10_DG_P3_target,18149,2419.0,3230.0,
triad_10_MG_P1P2,23737,61.0,,0.002563240608454492
triad_10_MG_P1P3,23628,170.0,,0.0071434574333977645
triad_10_MG_P2P3,23572,226.0,,0.009496596352634674
triad_10_1d_DG_P1,20630,3168.0,,0.1331204302882595
triad_10_1d_DG_P2,20568,3230.0,,0.13572569123455752
triad_10_1d_DG_P3,18545,5253.0,,0.22073283469199093
triad_10_0_D1,10742,13056.0,,0.5486175308849484
triad_10_1_D1,14807,8991.0,,0.3778048575510547
triad_10_2_D1_same,23405,393.0,,0.01651399277250189
triad_10_2_D1_different,22912,886.0,,0.03723001932935541
triad_10_3_D1,23783,15.0,,0.0006303050676527439
triad_10_MG_D1,23741,57.0,,0.002395159257080427
triad_10_MG_D0,23398,400.0,,0.016808135137406505
triad_14_DG_P1_target,32325,,2005.0,0.0
triad_14_DG_P2_target,34287,,,0.0
triad_14_DG_P3_target,34242,,88.0,0.0
triad_14_MG_P1P2,34330,,,
triad_14_MG_P1P3,34330,,,
triad_14_MG_P2P3,34330,,,
triad_14_1d_DG_P1,32325,2005.0,,0.05840372851733178
triad_14_1d_DG_P2,34287,43.0,,0.0012525487911447713
triad_14_1d_DG_P3,34242,88.0,,0.0025633556655986016
triad_14_0_D1,2128,32202.0,,0.9380133993591611
triad_14_1_D1,32210,2120.0,,0.06175356830760268
triad_14_2_D1_same,34322,8.0,,0.00023303233323623653
triad_14_2_D1_different,34330,,,
triad_14_3_D1,34330,,,
triad_14_MG_D1,34330,,,
triad_14_MG_D0,34330,,,
triad_12_DG_P1_target,31363,,969.0,
triad_12_DG_P2_target,34132,44.0,,
triad_12_DG_P3_target,24588,2086.0,7640.0,
triad_12_MG_P1P2,34304,10.0,,0.0002914262400186513
triad_12_MG_P1P3,34087,227.0,,0.006615375648423384
triad_12_MG_P2P3,34207,107.0,,0.0031182607681995685
triad_12_1d_DG_P1,31600,2714.0,,0.07909308154106195
triad_12_1d_DG_P2,34249,65.0,,0.0018942705601212332
triad_12_1d_DG_P3,24922,9392.0,,0.2737075246255173
triad_12_0_D1,12074,22240.0,,0.6481319578014805
triad_12_1_D1,23015,11299.0,,0.3292825085970741
triad_12_2_D1_same,34227,87.0,,0.002535408288162266
triad_12_2_D1_different,33970,344.0,,0.010025062656641603
triad_12_3_D1,34314,,,
triad_12_MG_D1,34304,10.0,,0.0002914262400186513
triad_12_MG_D0,33980,334.0,,0.009733636416622954
triad_13_DG_P1_target,16713,,3617.0,
triad_13_DG_P2_target,33310,564.0,,
triad_13_DG_P3_target,25098,6631.0,2172.0,
triad_13_MG_P1P2,33850,51.0,,0.0015043804017580602
triad_13_MG_P1P3,31042,2859.0,,0.08433379546326067
triad_13_MG_P2P3,33901,,,
triad_13_1d_DG_P1,19623,14278.0,,0.421167517182384
triad_13_1d_DG_P2,33361,540.0,,0.01592873366567358
triad_13_1d_DG_P3,27957,5944.0,,0.1753340609421551
triad_13_0_D1,21267,12634.0,,0.37267337246688886
triad_13_1_D1,17863,16038.0,,0.4730833898705053
triad_13_2_D1_same,33665,236.0,,0.006961446564998083
triad_13_2_D1_different,31859,2042.0,,0.060234211380195274
triad_13_3_D1,33860,41.0,,0.0012094038523937348
triad_13_MG_D1,33856,45.0,,0.0013273944721394649
triad_13_MG_D0,31036,2865.0,,0.08451078139287926
